time,streamers_count,viewers_count
2019/3/13 9:00,8262,96977928
2019/3/13 10:00,10344,122838493
2019/3/13 11:00,11726,138062561
2019/3/13 12:00,13836,158532685
2019/3/13 13:00,18145,174040131
2019/3/13 14:00,22825,193301599
2019/3/13 15:00,24321,202978132
2019/3/13 16:00,24981,213484186
2019/3/13 17:00,24885,219864231
2019/3/13 18:00,26290,242299853
2019/3/13 19:00,29981,295363165
2019/3/13 20:00,33013,337955999
2019/3/13 21:00,34569,368505001
2019/3/13 22:00,33467,364856865
2019/3/13 23:00,27877,333757901
2019/3/14 0:00,19744,274053391
2019/3/14 1:00,14400,191485068
2019/3/14 2:00,10996,143971913
2019/3/14 3:00,8219,113118161
2019/3/14 4:00,6579,84196382
2019/3/14 5:00,5378,70056558
2019/3/14 6:00,4813,61811783
2019/3/14 7:00,5002,64524787
2019/3/14 8:00,6253,76788365
2019/3/14 9:00,8342,98915624
2019/3/14 10:00,10360,122854289
2019/3/14 11:00,11858,139012089
2019/3/14 12:00,13695,157946463
2019/3/14 13:00,18288,173568222
2019/3/14 14:00,23067,189246890
2019/3/14 15:00,24570,202850840
2019/3/14 16:00,25101,206370834
2019/3/14 17:00,24883,214365847
2019/3/14 18:00,26106,234271837
2019/3/14 19:00,29950,289343069
2019/3/14 20:00,33199,344124327
2019/3/14 21:00,34417,375204975
2019/3/14 22:00,33666,382029202
2019/3/14 23:00,27594,343708981
2019/3/15 0:00,19536,284535866
2019/3/15 1:00,14366,200950192
2019/3/15 2:00,11063,151960738
2019/3/15 3:00,8080,109745970
2019/3/15 4:00,6512,86607579
2019/3/15 5:00,5391,72223662
2019/3/15 6:00,4822,63436143
2019/3/15 7:00,4970,66157584
2019/3/15 8:00,6498,78554846
2019/3/15 9:00,8767,105197223
2019/3/15 10:00,10830,134695560
2019/3/15 11:00,12399,148025657
2019/3/15 12:00,14195,162488875
2019/3/15 13:00,18130,180320998
2019/3/15 14:00,22629,194265755
2019/3/15 15:00,24389,202849244
2019/3/15 16:00,25105,217442705
2019/3/15 17:00,25135,223660491
2019/3/15 18:00,26272,239896126
2019/3/15 19:00,30066,291572052
2019/3/15 20:00,32784,341190822
2019/3/15 21:00,34199,364384711
2019/3/15 22:00,33726,375586780
2019/3/15 23:00,28778,346411974
2019/3/16 0:00,21216,285194234
2019/3/16 1:00,16033,209259983
2019/3/16 2:00,12324,157753312
2019/3/16 3:00,9108,123781191
2019/3/16 4:00,7102,96476266
2019/3/16 5:00,5778,75076841
2019/3/16 6:00,5194,63975065
2019/3/16 7:00,5307,65447428
2019/3/16 8:00,6864,80998825
2019/3/16 9:00,9411,104778941
2019/3/16 10:00,11893,133542941
2019/3/16 11:00,13518,150360717
2019/3/16 12:00,15338,165831873
2019/3/16 13:00,20174,185207061
2019/3/16 14:00,25120,212470907
2019/3/16 15:00,26385,225392823
2019/3/16 16:00,26770,231856811
2019/3/16 17:00,26367,229068099
2019/3/16 18:00,26576,241716643
2019/3/16 19:00,29523,287886677
2019/3/16 20:00,32575,332825072
2019/3/16 21:00,34034,367706959
2019/3/16 22:00,33317,372034209
2019/3/16 23:00,28596,340597872
