类型,价格,等级,混合性,干性,正常,油性,敏感性
保湿霜,40 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,45 ,4 ,0 ,0 ,1 ,1 ,0 
保湿霜,36 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,39 ,4 ,1 ,1 ,0 ,0 ,0 
保湿霜,32 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,36 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,28 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,39 ,4 ,1 ,0 ,1 ,1 ,1 
保湿霜,190 ,0 ,0 ,0 ,0 ,0 ,0 
保湿霜,175 ,3 ,1 ,1 ,1 ,1 ,1 
保湿霜,39 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,135 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,122 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,112 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,35 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,48 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,28 ,4 ,1 ,0 ,1 ,1 ,1 
保湿霜,40 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,40 ,4 ,0 ,1 ,0 ,0 ,1 
保湿霜,45 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,48 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,35 ,5 ,0 ,1 ,1 ,1 ,0 
保湿霜,88 ,5 ,0 ,1 ,0 ,0 ,1 
保湿霜,48 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,34 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,29 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,48 ,4 ,1 ,0 ,1 ,1 ,1 
保湿霜,229 ,0 ,0 ,0 ,0 ,0 ,0 
保湿霜,85 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,84 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,58 ,5 ,1 ,1 ,1 ,0 ,1 
保湿霜,127 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,45 ,4 ,0 ,1 ,1 ,0 ,0 
保湿霜,60 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,30 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,32 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,47 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,47 ,4 ,1 ,0 ,1 ,1 ,0 
保湿霜,42 ,4 ,1 ,0 ,1 ,1 ,1 
保湿霜,48 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,44 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,58 ,5 ,1 ,1 ,1 ,0 ,0 
保湿霜,44 ,5 ,1 ,1 ,1 ,0 ,1 
保湿霜,75 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,38 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,39 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,32 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,38 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,82 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,65 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,95 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,29 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,52 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,82 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,42 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,45 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,68 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,35 ,5 ,1 ,0 ,1 ,1 ,1 
保湿霜,225 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,75 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,48 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,40 ,4 ,1 ,0 ,0 ,1 ,0 
保湿霜,34 ,4 ,1 ,0 ,0 ,1 ,0 
保湿霜,115 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,29 ,4 ,1 ,0 ,1 ,0 ,0 
保湿霜,36 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,56 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,58 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,24 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,40 ,4 ,1 ,0 ,1 ,1 ,0 
保湿霜,50 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,90 ,4 ,0 ,1 ,1 ,0 ,0 
保湿霜,60 ,5 ,1 ,1 ,1 ,0 ,1 
保湿霜,270 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,39 ,4 ,1 ,0 ,0 ,1 ,0 
保湿霜,63 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,76 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,175 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,63 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,39 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,28 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,280 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,57 ,4 ,1 ,0 ,1 ,1 ,0 
保湿霜,39 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,48 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,45 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,45 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,130 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,69 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,125 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,52 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,95 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,88 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,42 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,110 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,80 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,65 ,4 ,1 ,0 ,1 ,1 ,0 
保湿霜,34 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,94 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,39 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,140 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,76 ,4 ,1 ,1 ,1 ,0 ,1 
保湿霜,92 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,72 ,4 ,0 ,1 ,1 ,0 ,1 
保湿霜,54 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,39 ,5 ,1 ,0 ,0 ,1 ,0 
保湿霜,39 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,105 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,4 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,42 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,48 ,4 ,1 ,1 ,0 ,1 ,1 
保湿霜,24 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,108 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,92 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,55 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,165 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,39 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,60 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,35 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,160 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,49 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,50 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,90 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,150 ,4 ,1 ,1 ,1 ,0 ,1 
保湿霜,145 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,39 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,36 ,4 ,1 ,0 ,1 ,0 ,1 
保湿霜,28 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,49 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,32 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,48 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,35 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,29 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,34 ,5 ,1 ,1 ,1 ,0 ,1 
保湿霜,75 ,4 ,1 ,1 ,1 ,0 ,0 
保湿霜,50 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,28 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,115 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,39 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,140 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,95 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,60 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,115 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,58 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,60 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,54 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,27 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,100 ,4 ,1 ,1 ,1 ,0 ,1 
保湿霜,64 ,5 ,0 ,0 ,1 ,0 ,1 
保湿霜,23 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,48 ,5 ,0 ,1 ,1 ,0 ,1 
保湿霜,82 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,25 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,34 ,4 ,1 ,0 ,1 ,1 ,1 
保湿霜,67 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,38 ,5 ,1 ,1 ,1 ,0 ,0 
保湿霜,40 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,25 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,49 ,4 ,1 ,0 ,1 ,1 ,0 
保湿霜,99 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,30 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,38 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,60 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,55 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,65 ,5 ,1 ,1 ,1 ,1 ,0 
保湿霜,42 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,85 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,69 ,4 ,1 ,1 ,1 ,0 ,1 
保湿霜,26 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,175 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,69 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,28 ,5 ,1 ,1 ,1 ,0 ,1 
保湿霜,110 ,3 ,0 ,1 ,0 ,0 ,0 
保湿霜,45 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,36 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,58 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,88 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,94 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,140 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,30 ,5 ,1 ,0 ,1 ,1 ,1 
保湿霜,48 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,50 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,54 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,40 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,85 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,60 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,48 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,32 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,48 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,23 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,39 ,0 ,1 ,1 ,0 ,0 ,0 
保湿霜,39 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,150 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,29 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,95 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,52 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,44 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,59 ,4 ,1 ,1 ,1 ,1 ,0 
保湿霜,95 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,185 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,29 ,5 ,0 ,1 ,1 ,0 ,0 
保湿霜,98 ,4 ,0 ,0 ,0 ,0 ,0 
保湿霜,62 ,5 ,1 ,1 ,1 ,0 ,0 
保湿霜,49 ,5 ,1 ,1 ,1 ,1 ,1 
保湿霜,270 ,4 ,0 ,0 ,1 ,1 ,0 
保湿霜,39 ,4 ,1 ,0 ,0 ,1 ,1 
保湿霜,136 ,5 ,0 ,0 ,0 ,0 ,0 
保湿霜,65 ,4 ,1 ,1 ,1 ,1 ,1 
保湿霜,34 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,80 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,90 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,38 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,34 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,24 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,44 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,65 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,29 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,35 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,30 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,7 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,38 ,4 ,1 ,0 ,1 ,1 ,1 
洁面乳,20 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,23 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,10 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,24 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,95 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,32 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,34 ,4 ,1 ,0 ,1 ,1 ,1 
洁面乳,28 ,5 ,1 ,0 ,1 ,1 ,1 
洁面乳,26 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,60 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,19 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,76 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,62 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,80 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,38 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,36 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,30 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,30 ,4 ,1 ,0 ,1 ,1 ,1 
洁面乳,28 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,11 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,29 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,75 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,79 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,18 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,42 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,68 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,28 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,39 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,28 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,20 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,16 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,16 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,36 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,18 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,7 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,38 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,59 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,35 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,38 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,28 ,4 ,1 ,0 ,1 ,1 ,1 
洁面乳,30 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,20 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,28 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,95 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,25 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,38 ,4 ,1 ,0 ,1 ,1 ,0 
洁面乳,34 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,38 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,8 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,50 ,5 ,1 ,0 ,1 ,1 ,0 
洁面乳,28 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,21 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,28 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,58 ,0 ,0 ,0 ,0 ,0 ,0 
洁面乳,35 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,75 ,5 ,1 ,0 ,1 ,0 ,0 
洁面乳,39 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,23 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,5 ,1 ,0 ,1 ,0 ,0 
洁面乳,30 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,39 ,5 ,1 ,1 ,1 ,0 ,1 
洁面乳,22 ,5 ,1 ,0 ,0 ,1 ,0 
洁面乳,14 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,20 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,5 ,1 ,0 ,0 ,1 ,0 
洁面乳,29 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,34 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,5 ,1 ,1 ,1 ,0 ,1 
洁面乳,32 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,19 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,59 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,38 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,32 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,19 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,17 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,23 ,5 ,1 ,0 ,1 ,1 ,1 
洁面乳,25 ,0 ,0 ,0 ,0 ,0 ,0 
洁面乳,16 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,28 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,21 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,28 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,70 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,32 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,41 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,38 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,5 ,1 ,1 ,1 ,0 ,1 
洁面乳,26 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,15 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,38 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,46 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,18 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,32 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,25 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,7 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,35 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,30 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,32 ,4 ,1 ,0 ,1 ,1 ,0 
洁面乳,39 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,24 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,7 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,95 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,48 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,25 ,5 ,1 ,0 ,0 ,1 ,0 
洁面乳,19 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,55 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,7 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,52 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,32 ,5 ,0 ,0 ,0 ,0 ,0 
