support,itemsets
0.030604982,"frozenset({'香肠', '面包卷'})"
0.026944586,"frozenset({'香肠', '其他蔬菜'})"
0.020945602,"frozenset({'面包卷', '糕点'})"
0.022572445,"frozenset({'糕点', '其他蔬菜'})"
0.023182511,"frozenset({'购物袋', '其他蔬菜'})"
0.024605999,"frozenset({'面包卷', '热带水果'})"
0.02104728,"frozenset({'热带水果', '根茎类蔬菜'})"
0.020437214,"frozenset({'热带水果', '仁果类水果'})"
0.035892222,"frozenset({'热带水果', '其他蔬菜'})"
0.028876462,"frozenset({'其他蔬菜', '酸奶油'})"
0.024199288,"frozenset({'面包卷', '瓶装水'})"
0.024300966,"frozenset({'面包卷', '根茎类蔬菜'})"
0.042602949,"frozenset({'面包卷', '其他蔬菜'})"
0.024809354,"frozenset({'瓶装水', '其他蔬菜'})"
0.0473818,"frozenset({'根茎类蔬菜', '其他蔬菜'})"
0.026131164,"frozenset({'其他蔬菜', '仁果类水果'})"
0.02104728,"frozenset({'水果/蔬菜汁', '其他蔬菜'})"
0.022267412,"frozenset({ '全脂牛奶', '其他蔬菜','酸奶'})"
0.023182511,"frozenset({ '全脂牛奶', '其他蔬菜','根茎类蔬菜'})"
