antecedents,consequents,support,confidence,lift
"frozenset({'7', '11', '148', '218'})",frozenset({'6'}),0.012178763,0.998840196,1.64432415
"frozenset({'6', '148', '218', '7'})",frozenset({'11'}),0.012178763,0.913132384,2.483081006
"frozenset({'7', '11', '148'})","frozenset({'6', '218'})",0.012178763,0.910374509,11.60312308
"frozenset({'7', '148', '218'})","frozenset({'11', '6'})",0.012178763,0.902064941,2.756204521
"frozenset({'7', '11', '148'})",frozenset({'218'}),0.012192905,0.911431592,10.18441837
"frozenset({'7', '148', '218'})",frozenset({'11'}),0.012192905,0.903112375,2.455833593
"frozenset({'27', '148'})",frozenset({'11'}),0.010911089,0.902875293,2.455188896
"frozenset({'148', '27', '6'})",frozenset({'11'}),0.010887857,0.919160911,2.499474379
"frozenset({'11', '27', '148'})",frozenset({'6'}),0.010887857,0.997870765,1.64272824
"frozenset({'27', '148'})","frozenset({'11', '6'})",0.010887857,0.900952859,2.752806622
"frozenset({'3', '11', '148'})",frozenset({'6'}),0.024211062,0.990168133,1.630047911
"frozenset({'3', '148', '6'})",frozenset({'11'}),0.024211062,0.8530804,2.319781638
"frozenset({'148', '6'})",frozenset({'11'}),0.055787766,0.852972973,2.319489512
"frozenset({'11', '148'})",frozenset({'6'}),0.055787766,0.990512742,1.630615218
"frozenset({'7', '148', '6'})",frozenset({'11'}),0.013349468,0.906136442,2.464056939
"frozenset({'7', '11', '148'})",frozenset({'6'}),0.013349468,0.997885835,1.64275305
"frozenset({'7', '148'})","frozenset({'11', '6'})",0.013349468,0.889906404,2.719054851
"frozenset({'11', '987', '6'})",frozenset({'148'}),0.011482805,0.87037746,12.32338071
"frozenset({'148', '987', '6'})",frozenset({'11'}),0.011482805,0.874932656,2.379204481
"frozenset({'11', '148', '987'})",frozenset({'6'}),0.011482805,0.996843213,1.64103665
"frozenset({'11', '987'})","frozenset({'148', '6'})",0.011482805,0.861799712,13.1765782
"frozenset({'148', '987'})","frozenset({'11', '6'})",0.011482805,0.853709823,2.608458401
"frozenset({'7', '148'})",frozenset({'11'}),0.013377751,0.891791799,2.425049549
"frozenset({'11', '987'})",frozenset({'148'}),0.011519169,0.864528845,12.24057215
"frozenset({'148', '987'})",frozenset({'11'}),0.011519169,0.856413337,2.328844895
"frozenset({'2', '11'})",frozenset({'6'}),0.019822182,0.942283684,1.551218928
"frozenset({'11', '205', '27'})",frozenset({'6'}),0.011437351,0.992810171,1.634397322
"frozenset({'11', '205'})",frozenset({'6'}),0.015831281,0.988520971,1.627336298
"frozenset({'7', '11', '205'})",frozenset({'6'}),0.0112222,0.992052862,1.633150614
"frozenset({'11', '215'})",frozenset({'6'}),0.015463605,0.984628248,1.620927966
"frozenset({'27', '218'})",frozenset({'11'}),0.011723209,0.86379875,2.348928048
"frozenset({'11', '27', '218'})",frozenset({'6'}),0.011678764,0.996208857,1.639992353
"frozenset({'27', '6', '218'})",frozenset({'11'}),0.011678764,0.887132663,2.412379962
"frozenset({'27', '218'})","frozenset({'11', '6'})",0.011678764,0.860523965,2.629278599
"frozenset({'3', '11', '218'})",frozenset({'6'}),0.026768633,0.98250102,1.617426052
"frozenset({'11', '218'})",frozenset({'6'}),0.061242301,0.983359284,1.618838955
"frozenset({'11', '64', '218'})",frozenset({'6'}),0.010073717,0.996502798,1.640476247
"frozenset({'64', '6', '218'})",frozenset({'11'}),0.010073717,0.860780252,2.340719847
"frozenset({'7', '11', '218'})",frozenset({'6'}),0.014411082,0.997204166,1.641630863
"frozenset({'7', '6', '218'})",frozenset({'11'}),0.014411082,0.870522912,2.367213063
"frozenset({'11', '25'})",frozenset({'6'}),0.01082018,0.99590926,1.639499146
"frozenset({'25', '6'})",frozenset({'11'}),0.01082018,0.876739237,2.384117117
"frozenset({'269', '11'})",frozenset({'6'}),0.011674724,0.975605639,1.606074645
"frozenset({'3', '11', '27'})",frozenset({'6'}),0.020288848,0.973677832,1.602901025
"frozenset({'3', '11', '27', '7'})",frozenset({'6'}),0.013711083,0.991599094,1.632403606
"frozenset({'11', '27'})",frozenset({'6'}),0.045376676,0.974405136,1.604098338
"frozenset({'7', '11', '27'})",frozenset({'6'}),0.030875695,0.991179999,1.631713679
"frozenset({'11', '87', '27', '6'})",frozenset({'7'}),0.010128262,0.952231719,10.84848105
"frozenset({'7', '11', '87', '27'})",frozenset({'6'}),0.010128262,0.992870581,1.634496771
"frozenset({'11', '87', '27'})","frozenset({'7', '6'})",0.010128262,0.945051838,12.71027319
"frozenset({'11', '83', '27'})",frozenset({'6'}),0.010652504,0.998768823,1.644206654
"frozenset({'11', '87', '27'})",frozenset({'6'}),0.010636342,0.992459943,1.633820765
"frozenset({'11', '87', '27'})",frozenset({'7'}),0.010200989,0.951837889,10.84399426
"frozenset({'11', '273'})",frozenset({'6'}),0.012487854,0.984707288,1.621058084
"frozenset({'278', '11'})",frozenset({'6'}),0.012372702,0.969756947,1.596446333
"frozenset({'11', '294'})",frozenset({'6'}),0.010331292,0.896249562,1.475436016
"frozenset({'3', '11', '4'})",frozenset({'6'}),0.011610078,0.892945929,1.469997465
"frozenset({'3', '11', '55'})",frozenset({'6'}),0.010297959,0.900379758,1.482235283
"frozenset({'3', '11'})",frozenset({'6'}),0.14513304,0.890852275,1.466550822
"frozenset({'3', '11', '64'})",frozenset({'6'}),0.013278761,0.972481136,1.600930984
"frozenset({'3', '11', '7'})",frozenset({'6'}),0.025223181,0.977989269,1.609998657
"frozenset({'3', '11', '77'})",frozenset({'6'}),0.013331286,0.978934876,1.611555347
"frozenset({'3', '11', '83'})",frozenset({'6'}),0.010592908,0.99139724,1.632071307
"frozenset({'11', '303'})",frozenset({'6'}),0.01571613,0.985495313,1.622355357
"frozenset({'11', '314'})",frozenset({'6'}),0.010953513,0.986625421,1.624215779
"frozenset({'11', '316'})",frozenset({'6'}),0.017485823,0.970510736,1.597687246
frozenset({'364'}),frozenset({'11'}),0.010476747,0.852469795,2.318121221
"frozenset({'11', '364'})",frozenset({'6'}),0.010434322,0.995950636,1.639567261
"frozenset({'364', '6'})",frozenset({'11'}),0.010434322,0.878774989,2.389652938
"frozenset({'11', '4'})",frozenset({'6'}),0.024654496,0.889731345,1.46470551
"frozenset({'40', '11'})",frozenset({'6'}),0.018042388,0.990737146,1.630984638
frozenset({'438'}),frozenset({'11'}),0.016787845,0.878900053,2.389993024
"frozenset({'11', '438'})",frozenset({'6'}),0.016731279,0.996630566,1.640686583
"frozenset({'6', '438'})",frozenset({'11'}),0.016731279,0.901196953,2.450624987
frozenset({'438'}),"frozenset({'11', '6'})",0.016731279,0.875938657,2.676377251
"frozenset({'11', '446'})",frozenset({'6'}),0.014779768,0.976703825,1.607882516
frozenset({'49'}),frozenset({'11'}),0.011009069,0.85805385,2.333305941
"frozenset({'11', '49'})",frozenset({'6'}),0.010966645,0.996146435,1.639889592
"frozenset({'49', '6'})",frozenset({'11'}),0.010966645,0.88926202,2.418170322
frozenset({'49'}),"frozenset({'11', '6'})",0.010966645,0.854747284,2.611628301
"frozenset({'11', '504'})",frozenset({'6'}),0.010018162,0.981105945,1.615129434
frozenset({'512'}),frozenset({'11'}),0.011207048,0.858679669,2.335007731
"frozenset({'11', '512'})",frozenset({'6'}),0.011160584,0.995853988,1.639408156
"frozenset({'512', '6'})",frozenset({'11'}),0.011160584,0.890115202,2.42049038
frozenset({'512'}),"frozenset({'11', '6'})",0.011160584,0.855119573,2.612765807
"frozenset({'11', '55'})",frozenset({'6'}),0.022161571,0.901619134,1.484275585
frozenset({'56'}),frozenset({'11'}),0.013619164,0.855954799,2.327597993
"frozenset({'56', '6'})",frozenset({'11'}),0.013553508,0.885618111,2.40826144
"frozenset({'11', '56'})",frozenset({'6'}),0.013553508,0.995179114,1.638297156
frozenset({'56'}),"frozenset({'11', '6'})",0.013553508,0.851828339,2.602709643
frozenset({'11'}),frozenset({'6'}),0.327285197,0.889986678,1.465125847
"frozenset({'11', '64'})",frozenset({'6'}),0.030166606,0.973530658,1.602658743
"frozenset({'11', '69'})",frozenset({'6'}),0.016993905,0.987613736,1.625842777
"frozenset({'7', '11'})",frozenset({'6'}),0.056398876,0.978291341,1.610495938
"frozenset({'7', '11', '83'})",frozenset({'6'}),0.013091893,0.998305476,1.643443877
"frozenset({'7', '11', '87'})",frozenset({'6'}),0.012832297,0.9925,1.633886708
"frozenset({'11', '87', '6'})",frozenset({'7'}),0.012832297,0.927570093,10.56751879
"frozenset({'11', '87'})","frozenset({'7', '6'})",0.012832297,0.918184446,12.34892594
"frozenset({'11', '737'})",frozenset({'6'}),0.012538359,0.98468983,1.621029345
"frozenset({'11', '77'})",frozenset({'6'}),0.030131252,0.980959584,1.614888489
"frozenset({'11', '83'})",frozenset({'6'}),0.024122173,0.991859451,1.632832214
"frozenset({'11', '87'})",frozenset({'6'}),0.013834315,0.989881469,1.629575994
"frozenset({'11', '897'})",frozenset({'6'}),0.010733312,0.989385475,1.628759472
"frozenset({'11', '90'})",frozenset({'6'}),0.019170668,0.995907016,1.639495451
"frozenset({'6', '90'})",frozenset({'11'}),0.019170668,0.891535137,2.42435161
frozenset({'90'}),"frozenset({'11', '6'})",0.019170668,0.860257456,2.628464297
"frozenset({'11', '987'})",frozenset({'6'}),0.013192903,0.990144796,1.630009492
"frozenset({'11', '87'})",frozenset({'7'}),0.012929267,0.925122868,10.53963831
"frozenset({'11', '897'})",frozenset({'7'}),0.010034323,0.924953445,10.53770812
frozenset({'90'}),frozenset({'11'}),0.019249456,0.863792947,2.348912269
frozenset({'135'}),frozenset({'6'}),0.017867641,0.965925845,1.590139445
frozenset({'136'}),frozenset({'6'}),0.021402987,0.894843532,1.473121363
frozenset({'14'}),frozenset({'6'}),0.010453514,0.891617128,1.467809948
"frozenset({'27', '148'})",frozenset({'218'}),0.010926241,0.904129054,10.10281916
"frozenset({'148', '27', '6'})",frozenset({'218'}),0.010791897,0.911059947,10.18026558
"frozenset({'27', '148', '218'})",frozenset({'6'}),0.010791897,0.987704539,1.62599226
"frozenset({'27', '148'})","frozenset({'6', '218'})",0.010791897,0.89301237,11.38183499
"frozenset({'3', '148', '6'})",frozenset({'218'}),0.024773687,0.872904581,9.75391409
"frozenset({'3', '148', '218'})",frozenset({'6'}),0.024773687,0.966999172,1.591906392
"frozenset({'148', '6'})",frozenset({'218'}),0.057412005,0.87780695,9.808693604
"frozenset({'148', '218'})",frozenset({'6'}),0.057412005,0.966254696,1.590680811
"frozenset({'7', '148', '6'})",frozenset({'218'}),0.013337347,0.905313678,10.11605626
"frozenset({'7', '148', '218'})",frozenset({'6'}),0.013337347,0.987879695,1.626280607
"frozenset({'7', '148'})","frozenset({'6', '218'})",0.013337347,0.889098377,11.33194943
"frozenset({'7', '148'})",frozenset({'218'}),0.013500983,0.900006734,10.05675598
"frozenset({'27', '148'})",frozenset({'6'}),0.011845431,0.980190572,1.613622515
"frozenset({'3', '148'})",frozenset({'6'}),0.028380751,0.926376525,1.525032031
frozenset({'148'}),frozenset({'6'}),0.065403908,0.926031864,1.524464638
"frozenset({'64', '148'})",frozenset({'6'}),0.010560585,0.97865768,1.611099018
"frozenset({'7', '148'})",frozenset({'6'}),0.014732293,0.982088748,1.616747357
"frozenset({'77', '148'})",frozenset({'6'}),0.010280787,0.983001738,1.618250352
"frozenset({'148', '987'})",frozenset({'6'}),0.013124216,0.975743467,1.606301542
frozenset({'155'}),frozenset({'6'}),0.011177755,0.962763181,1.584932961
"frozenset({'205', '27'})",frozenset({'6'}),0.013800982,0.941561574,1.550030167
"frozenset({'7', '205', '27'})",frozenset({'6'}),0.010737352,0.943546955,1.553298568
frozenset({'205'}),frozenset({'6'}),0.019678748,0.911523885,1.500581118
"frozenset({'7', '205'})",frozenset({'6'}),0.013507043,0.938649445,1.545236123
frozenset({'215'}),frozenset({'6'}),0.019032285,0.872638014,1.436565896
"frozenset({'27', '218'})",frozenset({'6'}),0.01316462,0.970005954,1.596856257
"frozenset({'3', '218'})",frozenset({'6'}),0.034321143,0.878597471,1.446376554
frozenset({'218'}),frozenset({'6'}),0.078459437,0.876712793,1.443273933
"frozenset({'64', '218'})",frozenset({'6'}),0.011703007,0.971898331,1.59997155
"frozenset({'7', '218'})",frozenset({'6'}),0.016554512,0.971833491,1.59986481
"frozenset({'77', '218'})",frozenset({'6'}),0.011291896,0.975735358,1.606288194
"frozenset({'90', '218'})",frozenset({'6'}),0.010194929,0.989703864,1.629283614
"frozenset({'987', '218'})",frozenset({'6'}),0.010453514,0.97420691,1.60377201
frozenset({'25'}),frozenset({'6'}),0.012341389,0.964477423,1.587755005
"frozenset({'278', '27'})",frozenset({'6'}),0.010177757,0.928663594,1.528797081
"frozenset({'3', '27', '7'})",frozenset({'6'}),0.016748451,0.929949523,1.53091402
"frozenset({'7', '27'})",frozenset({'6'}),0.037774671,0.929464397,1.530115388
"frozenset({'7', '83', '27'})",frozenset({'6'}),0.010974725,0.991332117,1.631964099
"frozenset({'83', '27', '6'})",frozenset({'7'}),0.010974725,0.854704216,9.73738042
"frozenset({'7', '87', '27'})",frozenset({'6'}),0.01214947,0.941526419,1.549972293
"frozenset({'6', '87', '27'})",frozenset({'7'}),0.01214947,0.9506046,10.82994378
"frozenset({'87', '27'})","frozenset({'7', '6'})",0.01214947,0.891557335,11.99081027
"frozenset({'83', '27'})",frozenset({'6'}),0.012840378,0.987569919,1.625770644
"frozenset({'87', '27'})",frozenset({'6'}),0.012780782,0.937884516,1.54397687
"frozenset({'83', '27'})",frozenset({'7'}),0.011070685,0.851460534,9.700426156
"frozenset({'87', '27'})",frozenset({'7'}),0.012904014,0.946927581,10.78805265
frozenset({'273'}),frozenset({'6'}),0.015424211,0.888979449,1.463467713
"frozenset({'278', '7'})",frozenset({'6'}),0.010127252,0.929624478,1.53037892
"frozenset({'3', '7'})",frozenset({'6'}),0.033227206,0.850901472,1.400782473
"frozenset({'3', '77'})",frozenset({'6'}),0.016899966,0.867655448,1.428363429
"frozenset({'3', '83'})",frozenset({'6'}),0.013299973,0.931319847,1.533169893
frozenset({'303'}),frozenset({'6'}),0.019127234,0.891273652,1.467244506
frozenset({'314'}),frozenset({'6'}),0.013415124,0.894825495,1.47309167
frozenset({'32'}),frozenset({'6'}),0.010202,0.912458217,1.502119246
frozenset({'364'}),frozenset({'6'}),0.011873713,0.966137914,1.59048856
frozenset({'378'}),frozenset({'6'}),0.010830281,0.931699687,1.533795198
frozenset({'40'}),frozenset({'6'}),0.022488843,0.924507931,1.521955889
frozenset({'423'}),frozenset({'6'}),0.010758564,0.971186286,1.598799359
frozenset({'438'}),frozenset({'6'}),0.018565619,0.971972501,1.600093653
frozenset({'49'}),frozenset({'6'}),0.012332298,0.961187215,1.582338553
frozenset({'504'}),frozenset({'6'}),0.012681793,0.863123883,1.420903415
frozenset({'512'}),frozenset({'6'}),0.012538359,0.960684158,1.581510403
frozenset({'56'}),frozenset({'6'}),0.015304009,0.961846115,1.583423256
frozenset({'69'}),frozenset({'6'}),0.020645413,0.903141708,1.486782098
"frozenset({'7', '83'})",frozenset({'6'}),0.01612522,0.987199307,1.62516053
"frozenset({'7', '87'})",frozenset({'6'}),0.015590878,0.935511243,1.540069909
"frozenset({'87', '6'})",frozenset({'7'}),0.015590878,0.914720872,10.42113159
"frozenset({'7', '897'})",frozenset({'6'}),0.012062602,0.936774396,1.542149354
"frozenset({'6', '897'})",frozenset({'7'}),0.012062602,0.913835323,10.4110428
frozenset({'737'}),frozenset({'6'}),0.015657544,0.878492491,1.446203732
frozenset({'77'}),frozenset({'6'}),0.038034267,0.866525521,1.426503306
frozenset({'83'}),frozenset({'6'}),0.030285797,0.930802186,1.532317701
frozenset({'87'}),frozenset({'6'}),0.01704441,0.912897641,1.502842641
frozenset({'897'}),frozenset({'6'}),0.013199973,0.91403791,1.50471979
frozenset({'90'}),frozenset({'6'}),0.021502987,0.964917052,1.588478736
frozenset({'987'}),frozenset({'6'}),0.016595926,0.922826331,1.519187583
frozenset({'87'}),frozenset({'7'}),0.016665623,0.892609825,10.16922727
frozenset({'897'}),frozenset({'7'}),0.012876742,0.891655592,10.158356
